ResponseID,clust,Did you pursue further training after placing your first dental implant?,"If Yes, this was CE ","If Yes, this was: None","If Yes, this was: Other","If Yes, this was: Uni1yr","If Yes, this was: Uni2yr","If Yes, this was: Uni3yr","If Yes, this was: ",Supervision.first.implant.1.on.1,Supervision.first.implant.multiple,Supervision.first.implant.no.,Supervision.first.implant.no.information,Supervision.first.implant.other,Supervision.first.implant,Setting.first.implant,Duration.Proc.1.to.2.hr,Duration.Proc.2.to.3.hr,Duration.Proc.Less.than.1.hr,Duration.Proc.More.than.3.hr,Duration.Proc.No.info,Duration.Proc,Area,Surgical.Guide,Challenge.Anasthesia,Challenge.Implant.position,Challenge.Incision,Challenge.No.information,Challenge.prep.osteotomy,Challenge.reflection,Challenge.suturing,Challenge.other,Challenge,Restoration.type.other,Restoration.type.cem.ret.cr,Restoration.type.imp.sup.br,Restoration.type.imp.sup.cd,Restoration.type.no.information,Restoration.type,No complications,Over-prepared.osteotomy,Under-prepared.osteotomy,Inappropriate.implant.positioning,Difficulties.in.flap.design.closure,Wrong sequence of drills,Other.Complication,Reflection.Ad.prep,Reflection.Some.prep,Reflection.not.prep,Reflection.no.infromation,Reflection,Formal.mentor,"If Yes, this was: ",Advice.University,Advice.CE,Adv.mentor,Adv.imp.company,Adv.On.line.Ed,Adv.other
R_1IuT40b11Mmh4V3,5,1,1,0,0,0,0,0,CE,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_1mgxHhQqyELvuLq,5,1,1,0,0,0,0,0,CE,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2Uci2qEHXcabjLp,5,1,1,0,0,0,0,0,CE,0,0,0,1,0,No.information,No.information,0,0,0,0,1,No.information,No.information,0,0,0,0,1,0,0,0,0,No.information,0,0,0,0,1,No.information,0,0,0,0,0,0,0,0,0,0,1,No.information,0,Not.applicable,0,0,0,0,0,0
R_2w1BmBOlUnwwjvQ,2,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Other,0,0,1,0,0,Less.than.1.hr,Multiple.implant,0,0,1,0,0,0,0,0,0,Id.implant.position,0,0,0,1,0,imp.sup.cd,1,0,0,0,0,0,0,0,1,0,0,Som.prep,0,Not.applicable,1,0,0,0,0,0
R_1lty5j7VtritvnO,2,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Other,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,1,0,0,0,0,0,0,Id.implant.position,0,1,0,0,0,Cem.ret.cr,1,0,0,0,0,0,0,1,0,0,0,Ad.prep,1,Sr.Coll,1,0,0,0,0,0
R_12o1ZOwwbimmbv2,4,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Uni,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,1,0,0,0,Cem.ret.cr,1,0,0,0,0,0,0,0,1,0,0,Som.prep,1,Uni,1,0,0,0,0,0
R_2y9rH4ziwcXw44f,5,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Uni,0,0,1,0,0,Less.than.1.hr,Single.implant,0,0,0,0,0,0,1,0,0,Reflection,0,0,1,0,0,imp.sup.br,1,0,0,0,0,0,0,0,1,0,0,Som.prep,1,Sr.Coll,0,1,0,0,0,0
R_2bDAqZUpn4T0dJ7,5,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Private,1,0,0,0,0,1.to.2.hr,Single.implant,0,0,0,0,0,0,0,1,0,Suturing,0,1,0,0,0,Cem.ret.cr,0,0,0,1,1,0,0,0,0,1,0,Not.ad.prep,1,Other,1,1,0,0,0,0
R_3iBZwyS26GTasBi,3,1,1,0,0,0,0,0,CE,0,1,0,0,0,Multiple ,Private,0,0,1,0,0,Less.than.1.hr,Multiple.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,0,0,1,0,0,imp.sup.br,0,0,1,0,0,0,0,0,1,0,0,Som.prep,0,Not.applicable,0,0,1,0,0,0
R_BtVIjdC4c4ZlrKp,3,1,1,0,0,0,0,0,CE,1,0,0,0,0,1on1,Private,0,0,1,0,0,Less.than.1.hr,Multiple.implant,0,0,0,0,0,1,0,0,0,Prep.osteotomy,1,0,0,0,0,Other,1,0,0,0,0,0,0,0,0,1,0,Not.ad.prep,1,Sr.Pr,0,0,1,0,0,0
