ResponseID,Cluster,Did you pursue further training after placing your first dental implant?,"If Yes, this was CE ","If Yes, this was: None","If Yes, this was: Other","If Yes, this was: Uni1yr","If Yes, this was: Uni2yr","If Yes, this was: Uni3yr","If Yes, this was: ",Challenge.Anasthesia,Challenge.Implant.position,Challenge.Incision,Challenge.No.information,Challenge.prep.osteotomy,Challenge.reflection,Challenge.suturing,Challenge.other,Challenge,Reflection.Ad.prep,Reflection.Some.prep,Reflection.not.prep,Reflection.no.infromation,Reflection
R_2D5eClanZzkcR9h,3,Yes,1,0,0,0,0,0,CE,1,0,0,0,0,0,0,0,Anasthesia,1,0,0,0,Adequately.prepared
R_1fjvTCOfzS4wQ8O,1,No,0,1,0,0,0,0,None,1,0,0,0,0,0,0,0,Anasthesia,1,0,0,0,Adequately.prepared
R_1DNO2ZskoAI0tFc,3,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,1,0,0,0,Adequately.prepared
R_1FlcARCBpv5lzXm,3,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,1,0,0,0,Adequately.prepared
R_2sUeXXImqNlwnvV,2,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,1,0,0,0,Adequately.prepared
R_W1oDxOrOu983zRD,4,No,0,1,0,0,0,0,None,1,0,0,0,0,0,0,0,Anasthesia,0,0,1,0,Not.adequately.prepared
R_1Nslk3kIUBQm90m,3,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,0,1,0,Not.adequately.prepared
R_3iF5aYimcApg0TU,5,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,0,1,0,Not.adequately.prepared
R_3M5oP6OYkB2jOjX,5,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,0,1,0,Not.adequately.prepared
R_tPZrbbvFQOYoN5n,4,Yes,0,0,1,0,0,0,Other,1,0,0,0,0,0,0,0,Anasthesia,0,0,1,0,Not.adequately.prepared
